,keyword,date,text
0,電算,Thu Feb 07 18:02:25 +0000 2019,私の電算記号はCです
1,電算,Thu Feb 07 18:00:48 +0000 2019,私の電算記号はYSです
2,電算,Thu Feb 07 17:35:42 +0000 2019,電算は家
3,電算,Thu Feb 07 16:33:53 +0000 2019,私の電算記号はT10番台です
4,電算,Thu Feb 07 16:14:04 +0000 2019,三井物産爆破事件(74年10月4日)「大地の牙」による企業爆破事件。海外進出を進める三井物産を帝国主義と見なし、警告として港区の本社ビル3階電算機室を爆破。17名が負傷。事前の爆破予告を受け、現場捜索中の警官4名も巻き込まれた。 https://t.co/5hAbImedcE
5,電算,Thu Feb 07 15:34:11 +0000 2019,私の電算記号はL69でした
6,電算,Thu Feb 07 15:17:47 +0000 2019,@Alice96604448 電算入ってたから 大変なんだろうなあ(小並感)ってすごいなる
7,電算,Thu Feb 07 15:15:48 +0000 2019,"QS 世界大学ランキング 理系 2016〔工学及び技術分野〕機械･航空12 東大28 京大32 東工40 東北化学工学９ 京大11 東大23 東工37 阪大電算機科学及び情報システム21 東大51-100 京大, 東工101-150 阪大"
8,電算,Thu Feb 07 15:03:34 +0000 2019,RT @a_saitoh: では、「Cのポインタでつまずくのはなぜか？」はやはり人類にとって難しいからだろうか？黎明期の電算機にはプログラムカウンタがなかったらしいし。https://t.co/UEADdPKYXA
9,電算,Thu Feb 07 15:03:23 +0000 2019,桃井電算事務所さんを表す漢字一文字は、 https://t.co/XgtTVa80Jt 『熊』です。#あなたを表す漢字一文字https://t.co/35BH8xHBw0…なんでやねん。ホッペ赤くないし、ちーとも似とらへんがな。
10,電算,Thu Feb 07 14:48:18 +0000 2019,@ReHTVy8dBDAaF5l 多分電算機重テラバイトが来ますね
11,電算,Thu Feb 07 14:07:15 +0000 2019,@tos  なんかでもどうでもいいか。別に命に関わらないもんね。皆知ってて放置してるんだし。上も皆しっかり判子押してるしね？電算にも事前に触りたいから8日までには入れてくれって頼んであるし。
12,電算,Thu Feb 07 14:00:49 +0000 2019,私の電算記号は4両編成はAL、2両編成はASとなります
13,電算,Thu Feb 07 13:59:44 +0000 2019,RT @ayacius: SPACE BATTLESHIP ヤマトは案外イケたクチなのだが、復活篇はダメだった(いや、とかいいながら、第3艦橋というか電算室が活躍するあたりまではそれなりにたのしんでたんだけど、オチでげっそりしたんだよな、あの映画)
14,電算,Thu Feb 07 13:58:55 +0000 2019,9820系を大阪線に投入した時の番号重複という杞憂を想定してサ9310に改番したため編成から50番台が消滅して電算と一切一致しなくなった9200系の巻
15,電算,Thu Feb 07 13:58:52 +0000 2019,ハイ！電算の社畜です。 #社畜ちゃん https://t.co/pX1Nz0FuBU
16,電算,Thu Feb 07 13:37:53 +0000 2019,電算機が好きな沙田、ユーマ、金盛あたりが皆順位が高めなのはちょっと嬉しい。特に金盛はいい方向に意外。あとプロ編になってからの大典太も好きなんですよね。
17,電算,Thu Feb 07 13:37:03 +0000 2019,@MD_a_To_bl_o ｻ6172の電算
18,電算,Thu Feb 07 13:31:59 +0000 2019,RT @JDSDE214: @Ton_beri 止めて、これからは電算機の分散処理でいけるじゃんとか言ってた人達をdisるのやめたげて。（なお、通信回線における負担について）
19,電算,Thu Feb 07 13:31:05 +0000 2019,私の電算記号はY11です
20,電算,Thu Feb 07 13:31:02 +0000 2019,私の電算記号は奈良線所属車はDH大阪線所属車はDF名古屋線所属車はDGです
21,電算,Thu Feb 07 13:21:27 +0000 2019,RT @JDSDE214: @Ton_beri 止めて、これからは電算機の分散処理でいけるじゃんとか言ってた人達をdisるのやめたげて。（なお、通信回線における負担について）
22,電算,Thu Feb 07 13:16:39 +0000 2019,@shion_2170 マシンとか環境、言語は凄い速度で変わりますから日々勉強ですけど、かつての自分には確かに誇りが持てていました。(元電算室付き。事務系プログラマーだった事が…)
23,電算,Thu Feb 07 13:12:50 +0000 2019,@rurou_traveller 磁気テープの記録密度にBPIという単位がありますが、紙テープだと一体何BPIになるのだろう、と考えてしまいました。恐らく2桁に乗るか乗らないか、でしょう。電算技術の進歩は凄まじ過ぎます・・・
24,電算,Thu Feb 07 13:02:50 +0000 2019,@_takumimusu_ じゅいち、電算が初見乾燥してた
25,電算,Thu Feb 07 12:58:32 +0000 2019,私の電算記号はVです
26,電算,Thu Feb 07 12:31:29 +0000 2019,近鉄電算記号の『W』って新青山トンネルを跨げる大阪、名古屋線系統の2両通勤車なのネ…最近知ったよ…
27,電算,Thu Feb 07 12:10:38 +0000 2019,rt高校の電算部顧問の先生、読んでたなぁww フォートランとかコボルの時代だね
28,電算,Thu Feb 07 12:04:17 +0000 2019,『桃井電算事務所』×『桃井電算事務所』⇒『 最 終 秘 密 兵 器 』#あなたとあなたを掛け合わせるとhttps://t.co/iAa09ok5Nm…そんなのあるなら早く出せよみたいな。システム構築ならウチに任せな。
29,電算,Thu Feb 07 12:03:53 +0000 2019,私の電算記号はTです
30,電算,Thu Feb 07 12:01:30 +0000 2019,私の電算記号はPLです
31,電算,Thu Feb 07 11:34:28 +0000 2019,私の電算記号はKL20です
32,電算,Thu Feb 07 11:30:30 +0000 2019,電算記号はVW21。昔はVC51だったんだ。
33,電算,Thu Feb 07 11:29:50 +0000 2019,私の電算記号はSEです
34,電算,Thu Feb 07 11:28:26 +0000 2019,SPACE BATTLESHIP ヤマトは案外イケたクチなのだが、復活篇はダメだった(いや、とかいいながら、第3艦橋というか電算室が活躍するあたりまではそれなりにたのしんでたんだけど、オチでげっそりしたんだよな、あの映画)
35,電算,Thu Feb 07 11:06:46 +0000 2019,新しいパソコンがあるのに真夏でもなかなか冷房のつかない情報科棟の第３電算室。少し前の機種だからかガンッガン冷房かけてる図書館上の第１電算室。
36,電算,Thu Feb 07 11:00:31 +0000 2019,電算記号は兄さんの続きで、VW22-VW27なんだ。もちろん、昔はVC52-VC57だったんだ。
37,電算,Thu Feb 07 10:59:36 +0000 2019,RT @JDSDE214: @Ton_beri 止めて、これからは電算機の分散処理でいけるじゃんとか言ってた人達をdisるのやめたげて。（なお、通信回線における負担について）
38,電算,Thu Feb 07 10:58:10 +0000 2019,私の電算記号はVXです
39,電算,Thu Feb 07 10:47:53 +0000 2019,Q. 電算部って何するところ？A. ゲーム作るところ
40,電算,Thu Feb 07 10:37:40 +0000 2019,《Ｎｏ.３４ 電算機獣テラ・バイト》出身：アニメ版ZEXAL所有者：右京先生→アストラル一言：壁。何気に絵違いカードが存在するhttps://t.co/ZzGzmgHFx4
41,電算,Thu Feb 07 10:29:17 +0000 2019,私の電算記号はPNです
42,電算,Thu Feb 07 10:10:17 +0000 2019,今から21年前、苫小牧から室蘭に移って、初めて図書館に出掛けたときに大変ショックを受けたことを鮮明に覚えている。電算化されてないのは仕方ないが、本の扱いが酷かった。フィルムで保護されてなく、どの本もぼろぼろ。建物の古さ（それもただ経年劣化した感じ）もあって絶句するほかなかった。
43,電算,Thu Feb 07 10:09:30 +0000 2019,私の電算記号はFLです
44,電算,Thu Feb 07 10:01:40 +0000 2019,"独：Langsam langsam. Lassen Sie uns den Japanern vertrauen. Sagen Sie ihnen, dass wir sie gerne unterstützen.（ﾊﾞｰｸﾞﾍｯﾄﾞ科学電算研究所 女性研究所長）"
45,電算,Thu Feb 07 09:34:28 +0000 2019,私の電算記号はAYです
46,電算,Thu Feb 07 08:59:19 +0000 2019,私の電算記号は2両編成 E3両編成 B4両編成 Lです
47,電算,Thu Feb 07 08:38:00 +0000 2019,RT @mameta_iwhs: 電算室で麻雀をするな( ˘ •ω• ˘ )
48,電算,Thu Feb 07 08:37:53 +0000 2019,私の電算記号はY08、Y51です
49,電算,Thu Feb 07 08:16:31 +0000 2019,@NoRi19681204 か○○で側の電算ミスで発注数少なかったから、明日は今日の2倍の可能性。しかも全業者(^_^;)
50,電算,Thu Feb 07 08:02:41 +0000 2019,幹部陣が結構やる気だったのでなんだこの組織？本当に電算部か？となってた
51,電算,Thu Feb 07 07:59:20 +0000 2019,私の電算記号はPN51、PN52編成です
52,電算,Thu Feb 07 07:43:57 +0000 2019,電算室で麻雀をするな( ˘ •ω• ˘ )
53,電算,Thu Feb 07 07:31:00 +0000 2019,私の電算記号は2両編成はN、4両編成と6両編成はNSです
54,電算,Thu Feb 07 07:22:16 +0000 2019,あ～～もう、どうして、おまいらの会社のセキュリティとかTrustedConnectionについて、オイラが文句を言われなきゃいけねえんだよ。この馬鹿が。少しは勉強してこい。文句を言うのは、おまいらの電算チームだろが。アホ。。という返信を送った。w
55,電算,Thu Feb 07 07:07:46 +0000 2019,近鉄は電算記号あるよ
56,電算,Thu Feb 07 07:01:27 +0000 2019,私の電算記号はKLです
57,電算,Thu Feb 07 06:44:12 +0000 2019,入庫登録を電算上で行う際は、あらかじめ温度帯や料率、規格などを設定した商品マスタを作成しておくと楽です。該当の商品コードを検索して品数や製造日/賞味期限を入力するだけで入庫登録ができます。
58,電算,Thu Feb 07 06:38:25 +0000 2019,私の電算記号はPN04です
59,電算,Thu Feb 07 06:30:59 +0000 2019,私の電算記号の内、先頭車はN、中間車はSです
60,電算,Thu Feb 07 06:29:16 +0000 2019,私の同僚の15204F 電算記号PN04 は復刻塗装車です
61,電算,Thu Feb 07 05:56:26 +0000 2019,企業の経理・電算部門の人も参加するだろうに、締日・月末・月初にやるのはどうなのよ……。#GoogleNext19
62,電算,Thu Feb 07 05:50:28 +0000 2019,@kyo21319 すんません！イベント系は🔑と電算しか行けてないんです！情報持ってなくて申し訳ないです😭
63,電算,Thu Feb 07 05:45:10 +0000 2019,@shu2o ヲ、マジですか！！🔑はさておき、残りの内2つしか行けてないので話聞きたいです、、ラタトゥイユとJapanese電算以外で参加されたとこありますか？
64,電算,Thu Feb 07 05:31:05 +0000 2019,私の電算記号はKです
65,電算,Thu Feb 07 05:09:28 +0000 2019,（電算機の国別対抗の性能競争するぐらいならアメリカとかの電算機の利用時間借りて分散処理すればいいじゃないですか、と言う構想が一時期あった事はもう忘れられていると思う）
66,電算,Thu Feb 07 05:04:19 +0000 2019,私の電算記号はSLです
67,電算,Thu Feb 07 05:03:19 +0000 2019,@Ton_beri 止めて、これからは電算機の分散処理でいけるじゃんとか言ってた人達をdisるのやめたげて。（なお、通信回線における負担について）
68,電算,Thu Feb 07 04:32:23 +0000 2019,私の電算記号はCです
69,電算,Thu Feb 07 04:30:41 +0000 2019,私の電算記号はYSです
70,電算,Thu Feb 07 04:09:31 +0000 2019,私の電算記号は偶数のみです
71,電算,Thu Feb 07 04:07:51 +0000 2019,私の電算記号はV1です
72,電算,Thu Feb 07 03:45:09 +0000 2019,@peach19xx まずないな。電算化とかすればあるみたいよ。
73,電算,Thu Feb 07 03:37:37 +0000 2019,では、「Cのポインタでつまずくのはなぜか？」はやはり人類にとって難しいからだろうか？黎明期の電算機にはプログラムカウンタがなかったらしいし。https://t.co/UEADdPKYXA
74,電算,Thu Feb 07 03:34:34 +0000 2019,私の電算記号は奈良線用はEE、大阪線用はEＷです
75,電算,Thu Feb 07 03:15:43 +0000 2019,キミが他校と戦う使命を受け受け止めるなら、ボクはキミの願いを叶え電算部員にしてあげる
76,電算,Thu Feb 07 02:35:35 +0000 2019,今日電算に来てからの3時間しかJavaの勉強してないけど、多分1週間前から対策してた昨年よりも賢い
77,電算,Thu Feb 07 02:15:01 +0000 2019,2/6 逆日歩日数 1日3640 電算 0.05円3653 モルフォ 0.05円3665 エニグモ 0.05円3668 コロプラ 0.05円3674 オークファン 0.05円3686 ディー・エル・イー 0.05円… https://t.co/uNBPthSzMX
78,電算,Thu Feb 07 01:58:40 +0000 2019,私の電算記号はHLです
79,電算,Thu Feb 07 01:31:21 +0000 2019,RT @yoko4449: @misetemiso まず強制的同姓システムをなんとかしてほしい。これ何故ダメなのかまったくわからない。昔の紙の戸籍と異なり、電算化はべつに同じ名字でなくても紐つけられるし。
80,電算,Thu Feb 07 01:31:00 +0000 2019,私の電算記号は奈良線所属車はDH大阪線所属車はDF名古屋線所属車はDGです
81,電算,Thu Feb 07 01:00:59 +0000 2019,"独：Unter keinen Umständen. Wenn wir unsergeschlossenen Systeme für fremde Länderöffnen, können~https://t.co/Igrq1me9j4（バーグヘッド科学電算研究所 研究者）"
82,電算,Thu Feb 07 01:00:47 +0000 2019,おはようございます。後期の試験が終わってほっとしてる学生さんも多いのではないでしょうか😁アクセスランキングです！1位☆東和産業2位☆トヨタカローラ和歌山3位☆スズキ自販和歌山4位☆和歌山県農協電算センター5位☆淺川… https://t.co/cPsEFdueXM
83,電算,Thu Feb 07 00:38:20 +0000 2019,電算室にしか見えない
84,電算,Thu Feb 07 00:15:40 +0000 2019,部長が部室の鍵を借りに行った！　電算部が始まる、急いで！
85,電算,Thu Feb 07 00:07:34 +0000 2019,某庁電算室で古いサーバーを見つけたので、横の先輩に問うた。「頭が高い。あちらはこの部屋のヌシであり、旧庁舎より移設されし**システムのサーバー様だ。移設から10年経つが今日も元気でいらっしゃる。これ！目を合わせてはならぬ！庁内引… https://t.co/iXp5GpIzx3
86,電算,Thu Feb 07 00:01:03 +0000 2019,私の電算記号はY11です
87,電算,Wed Feb 06 23:58:10 +0000 2019,私の電算記号はULです
88,電算,Wed Feb 06 23:51:19 +0000 2019,お前は何者か…と聞いている。愛玩用が‐‐‐深海を平気で歩きマッハ24もの高速で飛ぶのか。かと思えば電算能力は赤子といっていいほどしかない。その点は確かに愛玩用とも言えるが……それならば身体能力は人並みに造るべきではないのか・・・?限りなく完全で限りなく不完全…お前は一体なにものだ
89,電算,Wed Feb 06 23:46:09 +0000 2019,電算ドンだーは幽玄の乱で本当に少しだけ得する本当に少しだけ
90,電算,Wed Feb 06 23:34:27 +0000 2019,私の電算記号はKL20です
91,電算,Wed Feb 06 23:15:46 +0000 2019,君の存在が、一つの疑問に答えを出してくれた――何故、部長が、電算部員として、あれほど破格の素質を備えていたのか
92,電算,Wed Feb 06 23:10:50 +0000 2019,ただいま電算時間で８：１０です。早く学校に行きましょう。
93,電算,Wed Feb 06 23:00:49 +0000 2019,私の電算記号は4両編成はAL、2両編成はASとなります
94,電算,Wed Feb 06 22:58:09 +0000 2019,私の増結用2両編成の電算記号はUBです
95,電算,Wed Feb 06 22:29:13 +0000 2019,私の電算記号はPNです
96,電算,Wed Feb 06 22:03:52 +0000 2019,私の電算記号はT10番台です
97,電算,Wed Feb 06 22:00:21 +0000 2019,電算部員のみんな、おはよう！
98,電算,Wed Feb 06 21:58:09 +0000 2019,私の電算記号はVXです
99,電算,Wed Feb 06 21:04:18 +0000 2019,私の電算記号はAYです
